           1           0        3957         397        1383        1876          96
  2   -0.08    0.12     0.11  0.006    -3.86     5.37     0.00     0.17 20125   -3.91    5.35
  2   -0.17   -0.08    -0.24  0.006     1.73    -1.79    -0.10     0.17 10001    1.79   -1.87
  2   -0.37    1.04    -0.98  0.006     1.73    -1.79    -0.10     0.17 10001    1.79   -1.87
  1   -0.07    0.02     0.07  0.010     1.73    -1.79    -0.10     0.17 10001    1.79   -1.87
 -1   -0.25   -0.34    -0.39  0.010     1.47    -2.80    -0.04     0.17 20035    1.56   -2.69
  1   -0.41   -0.50     0.12  0.010     1.47    -2.80    -0.04     0.17 20035    1.56   -2.69
  1    0.10   -0.44     1.18  0.010    -2.30    -0.76     0.09     0.17 10084   -2.32   -0.71
  1    0.00    0.11    -0.16  0.010    -2.30    -0.76     0.09     0.17 10084   -2.32   -0.71
  1    0.10   -0.20    -0.08  0.010    -2.30    -0.76     0.09     0.17 10084   -2.32   -0.71
  1   -0.37   -0.33     0.04  0.010    -2.92     1.09     0.08     0.17 20170   -2.95    1.14
  1    0.21    0.00     0.42  0.010    -2.92     1.09     0.08     0.17 20170   -2.95    1.14
  2    0.43   -0.19     0.27  0.006    -2.92     1.09     0.08     0.17 20170   -2.95    1.14
 -2   -0.67    0.76    -0.55  0.006    -1.77    -1.17    -0.11     0.17     2   -1.72   -1.26
  3    0.06    0.34    -0.79  0.199    -1.77    -1.17    -0.11     0.17     2   -1.72   -1.26
  2    0.06   -0.07     0.55  0.006     3.50    -2.09     0.08     0.17 10012    3.54   -2.05
  1   -0.44   -0.02    -0.21  0.010     3.50    -2.09     0.08     0.17 10012    3.54   -2.05
  1   -0.02   -0.25     0.40  0.010     3.50    -2.09     0.08     0.17 10012    3.54   -2.05
  1    0.15    0.10    -0.04  0.010     3.68    -1.98    -0.07     0.17 10012    3.54   -2.05
 -2    0.98    0.48    -0.56  0.006     3.68    -1.98    -0.07     0.17 10012    3.54   -2.05
  2   -0.21   -0.13    -0.12  0.006    -3.30     0.01    -0.00     0.17 10144   -3.36    0.10
  1   -0.01   -0.03    -0.13  0.010    -3.30     0.01    -0.00     0.17 10144   -3.36    0.10
  2    0.58   -0.41     0.23  0.006    -3.30     0.01    -0.00     0.17 10144   -3.36    0.10
  1    0.52    0.19    -0.49  0.010     2.12    -4.26    -0.06     0.17 10086    2.09   -4.25
  2   -0.15   -0.26    -0.17  0.006     2.12    -4.26    -0.06     0.17 10086    2.09   -4.25
