           1        3957
 event,miss,iscat,jscat=           1           0          97          67
 event,miss,iscat,jscat=           1           0         837         107
     1   -0.089    0.194      0.004  0.010     0.94     5.92    -0.15     0.24
    -2    0.199   -0.419     -0.168  0.006     0.89     5.96    -0.01     0.16
     1    0.139   -0.393      0.065  0.010     0.94     5.92    -0.15     0.24
    -2   -0.029    0.168     -0.229  0.006     0.93     5.89    -0.04     0.24
 event,miss,iscat,jscat=           1           0         808         463
     2    0.204    0.092      0.155  0.006     1.17    -4.28    -0.05     0.23
     3   -0.031   -0.182     -0.407  0.199     1.12    -4.23     0.01     0.20
     2    0.395   -0.129     -0.115  0.006     1.18    -4.28    -0.05     0.24
     3   -0.222    0.039     -0.137  0.199     1.11    -4.25    -0.02     0.24
 event,miss,iscat,jscat=           1           0         808         240
     2    0.395   -0.129     -0.115  0.006     1.18    -4.28    -0.05     0.24
     1   -0.199   -0.214     -0.460  0.010     1.21    -4.20    -0.02     0.18
     2    0.387   -0.024     -0.164  0.006     1.18    -4.28    -0.05     0.24
     1   -0.191   -0.318     -0.411  0.010     1.18    -4.23    -0.07     0.24
 event,miss,iscat,jscat=           1           0         637          49
    -2    0.121   -0.121     -0.254  0.006    -3.14    -0.09     0.06     0.22
